NUMERO;DATA;IMPONIBILE;IVA;TOTALE
FT-2020-00036;09/07/2020;307.78;67.71;375.49
FT-2020-00111;08/09/2020;5733.89;1261.46;6995.35
FT-2020-00209;29/11/2020;5821.07;1280.64;7101.71
FT-2020-00218;25/09/2020;4607.24;1013.59;5620.83
FT-2020-00259;16/04/2020;6405.05;1409.11;7814.16
FT-2020-00270;04/09/2020;13737.30;3022.21;16759.51
FT-2020-00324;02/12/2020;6875.71;1512.66;8388.37
FT-2020-00407;02/10/2020;6197.13;1363.37;7560.50
FT-2020-00567;19/11/2020;8052.89;1771.64;9824.53
FT-2020-01053;18/09/2020;3136.24;689.97;3826.21
FT-2020-01079;15/09/2020;8391.42;1846.11;10237.53
FT-2020-01098;23/12/2020;2186.76;481.09;2667.85
FT-2020-01151;28/10/2020;7593.14;1670.49;9263.63
FT-2020-01184;28/04/2020;4943.18;1087.50;6030.68
FT-2020-01194;02/09/2020;7021.14;1544.65;8565.79
FT-2020-01220;25/07/2020;9035.06;1987.71;11022.77
FT-2020-01368;03/07/2020;5215.34;1147.37;6362.71
FT-2020-01370;27/09/2020;5049.94;1110.99;6160.93
FT-2020-01418;10/12/2020;3722.08;818.86;4540.94
FT-2020-01571;20/05/2020;8799.94;1935.99;10735.93
FT-2020-01651;24/11/2020;9979.72;2195.54;12175.26
FT-2020-01846;29/12/2020;3310.37;728.28;4038.65
FT-2020-01868;13/12/2020;16238.03;3572.37;19810.40
FT-2020-01873;26/07/2020;5030.43;1106.69;6137.12
FT-2020-02025;26/11/2020;9355.65;2058.24;11413.89
FT-2020-02111;21/07/2020;3089.87;679.77;3769.64
FT-2020-02127;30/12/2020;5586.07;1228.94;6815.01
FT-2020-02148;22/09/2020;13436.26;2955.98;16392.24
FT-2020-02180;15/10/2020;7738.23;1702.41;9440.64
FT-2020-02284;08/12/2020;2084.45;458.58;2543.03
FT-2020-02286;27/07/2020;13628.97;2998.37;16627.34
FT-2020-02349;20/04/2020;14321.92;3150.82;17472.74
FT-2020-02649;05/11/2020;2816.57;619.65;3436.22
