Numero;Utenza;Fattura;Data;Valore (m³)
10007270;50996833;FT-2023-58143;08/07/2023;558
10012290;28401184;;23/02/2024;3255
10018873;43564162;FT-2026-85291;22/02/2026;3585
10019752;48410960;;07/12/2022;1757
10030356;75951120;FT-2022-04467;05/11/2022;2879
10031409;15614653;;27/02/2024;2083
10042670;72323606;FT-2024-28322;03/11/2024;2065
10042798;61588157;FT-2024-56812;09/01/2024;4143
10051699;11101561;FT-2024-16558;21/10/2024;1420
10053206;54258922;FT-2023-37843;11/06/2023;1890
10055735;69657569;FT-2022-25635;30/06/2022;2411
10057523;68624150;FT-2021-85838;14/09/2021;3773
10058841;47804704;FT-2021-48977;03/09/2021;2264
10059039;37279732;FT-2026-28308;28/02/2026;859
10062222;34109881;FT-2023-70619;09/11/2023;4862
10064379;53520904;FT-2022-53019;23/03/2022;3745
10075024;85099770;FT-2022-70319;10/05/2022;4641
10077839;27393010;FT-2024-06974;14/06/2024;3018
10080994;46657224;;01/02/2021;1874
10095630;92210401;FT-2024-58548;05/09/2024;3987
10107296;95329873;FT-2024-62037;04/02/2024;4384
10110042;14908240;FT-2023-44745;30/11/2023;3617
10115750;49248878;FT-2021-18117;22/04/2021;5684
10139703;89502097;FT-2020-69993;30/03/2020;4550
10145016;52813190;FT-2022-08971;08/04/2022;498
10149118;99940539;FT-2022-91987;09/11/2022;5500
10149179;58835651;FT-2025-47506;28/04/2025;4319
10156351;28770332;FT-2023-98999;10/11/2023;2172
10158083;52643029;FT-2025-64807;14/05/2025;1047
10160556;43119161;FT-2022-42316;10/02/2022;534
10163404;77044777;FT-2021-91339;08/08/2021;2568
10181566;36523465;FT-2024-96085;28/09/2024;2086
10196476;72365046;FT-2021-25806;16/02/2021;1292
10197296;71125355;FT-2023-67198;21/09/2023;2583
10204080;61569154;FT-2023-29160;12/10/2023;5070
10206068;99490580;;16/05/2025;4108
10208021;26679984;FT-2021-37570;14/11/2021;2446
10208570;20406291;;08/05/2022;2090
10209659;99124883;FT-2025-01214;13/08/2025;3710
10210103;27635064;;15/09/2022;5022
10215437;56614477;FT-2025-34247;22/01/2025;4188
10218664;60566588;FT-2023-68416;07/03/2023;3475
10224384;36471246;FT-2023-19617;17/06/2023;2192
10229810;33091307;;15/06/2024;3647
10231949;87873585;FT-2024-61615;15/09/2024;2716
10232092;58481703;FT-2024-26292;01/08/2024;1170
10233391;88537982;FT-2021-41550;04/12/2021;4291
10237379;17992164;FT-2024-19366;16/09/2024;2588
10240518;14523888;FT-2024-63101;10/02/2024;4295
10241911;51357168;FT-2023-57083;03/10/2023;1122
10246833;63004999;FT-2024-35322;26/01/2024;2106
10260733;48999068;FT-2023-48727;23/05/2023;1174
10262834;82386656;FT-2021-38516;29/08/2021;1478
10267138;16076344;FT-2023-21570;03/11/2023;4650
10283185;28696561;;01/08/2023;5201
10288188;54189974;FT-2020-59864;19/02/2020;2559
10288802;37937145;FT-2022-57758;19/10/2022;3291
10296642;51761302;;08/11/2022;2652
10303390;78942104;FT-2023-02837;23/05/2023;2088
10319945;44857133;FT-2025-63951;20/03/2025;1219
10320205;42710405;FT-2023-81257;28/10/2023;4148
10322561;72341996;FT-2023-34571;10/03/2023;858
10328863;96865629;FT-2022-74642;12/09/2022;4771
10337383;69905270;FT-2022-40736;11/10/2022;3348
10341651;54885015;FT-2024-64418;11/12/2024;3776
10342685;67134324;;17/01/2021;5072
10343645;52034030;FT-2021-44768;07/09/2021;2205
10347063;27635064;;02/11/2022;5176
10351498;75984607;FT-2023-76664;25/12/2023;4004
10355714;25812362;FT-2023-57384;12/02/2023;4144
10358371;58869320;;10/12/2023;4423
